,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
1,Greuther Fuerth,L,1,1.10,8,5,0,0.61,17702
0,Borussia Dortmund,L,2,1.60,14,6,0,1.18,17703
1,Bayer Leverkusen,W,5,1.81,10,7,3,1.54,17703
0,Bayern Munich,W,3,3.03,23,7,3,1.62,17704
1,RasenBallsport Leipzig,L,2,2.66,12,7,0,1.16,17704
0,Greuther Fuerth,W,2,2.70,18,7,3,1.99,17705
1,Hertha Berlin,L,1,1.85,26,7,0,0.81,17705
0,Bochum,W,4,1.35,11,6,3,0.98,17706
1,Bayern Munich,L,2,1.87,21,4,0,1.75,17706
0,Hoffenheim,W,2,4.17,24,8,3,2.92,17707
1,Arminia Bielefeld,L,0,0.65,8,3,0,0.05,17707
0,Freiburg,D,1,1.69,17,6,1,0.49,17708
1,Mainz 05,D,1,3.16,20,5,1,2.34,17708
0,Borussia M.Gladbach,W,3,3.03,14,5,3,2.27,17709
1,Augsburg,L,2,1.63,15,6,0,0.57,17709
0,Union Berlin,L,0,1.47,11,2,0,0.55,17710
1,Borussia Dortmund,W,3,2.60,10,6,3,2.26,17710
0,Bayer Leverkusen,W,4,2.42,20,6,3,2.24,17711
1,VfB Stuttgart,L,2,1.17,8,4,0,0.56,17711
0,Eintracht Frankfurt,L,0,0.88,16,3,0,0.74,17712
1,Wolfsburg,W,2,1.62,11,3,3,2.01,17712
0,RasenBallsport Leipzig,W,3,0.85,6,4,3,1.42,17713
1,FC Cologne,L,1,0.79,9,2,0,1.23,17713
0,FC Cologne,W,1,1.43,12,8,3,2.00,17714
1,Eintracht Frankfurt,L,0,0.68,10,2,0,0.72,17714
0,Arminia Bielefeld,W,1,1.41,12,2,3,1.95,17715
1,Union Berlin,L,0,0.77,11,4,0,0.77,17715
0,Hertha Berlin,L,1,1.09,8,4,0,0.18,17716
1,RasenBallsport Leipzig,W,6,3.42,18,10,3,2.74,17716
0,Augsburg,L,1,0.95,17,4,0,0.31,17717
1,Freiburg,W,2,2.56,16,5,3,2.55,17717
0,Mainz 05,W,3,1.01,18,5,3,1.48,17718
1,Bayer Leverkusen,L,2,0.83,7,6,0,1.19,17718
0,VfB Stuttgart,D,1,1.37,16,7,1,0.88,17719
1,Bochum,D,1,1.93,12,4,1,1.86,17719
0,Wolfsburg,L,1,1.50,14,6,0,1.70,17720
1,Hoffenheim,W,2,1.07,10,4,3,1.01,17720
0,Borussia Dortmund,W,6,3.60,16,10,3,2.89,17721
1,Borussia M.Gladbach,L,0,0.77,8,4,0,0.07,17721
0,Bayern Munich,W,4,2.52,19,8,3,2.61,17722
1,Greuther Fuerth,L,1,0.66,8,3,0,0.26,17722
0,Greuther Fuerth,D,1,0.64,12,5,1,1.35,17723
1,FC Cologne,D,1,0.57,18,4,1,1.22,17723
0,Bochum,L,0,1.00,14,1,0,1.71,17724
1,RasenBallsport Leipzig,W,1,0.61,6,1,3,0.94,17724
0,Augsburg,D,1,0.86,9,4,1,1.58,17725
1,Borussia Dortmund,D,1,0.64,10,6,1,1.06,17725
