,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Union Berlin,W,2,1.56,11,3,3,1.40,17541
1,Borussia M.Gladbach,L,1,1.53,20,5,0,1.31,17541
0,Wolfsburg,W,1,1.11,8,2,3,1.02,17542
1,RasenBallsport Leipzig,L,0,1.44,11,2,0,1.67,17542
0,Greuther Fuerth,L,0,0.39,9,4,0,0.41,17543
1,Wolfsburg,W,2,1.44,9,3,3,2.37,17543
0,Hoffenheim,L,0,0.51,9,0,0,0.93,17544
1,Mainz 05,W,2,0.93,13,5,3,1.71,17544
0,Freiburg,D,1,0.87,9,3,1,0.82,17545
1,FC Cologne,D,1,1.50,15,4,1,1.89,17545
0,Union Berlin,D,0,1.72,16,5,1,2.12,17546
1,Augsburg,D,0,0.83,14,6,1,0.64,17546
0,Bayer Leverkusen,L,3,0.47,11,5,0,0.22,17547
1,Borussia Dortmund,W,4,2.29,14,6,3,2.66,17547
0,RasenBallsport Leipzig,L,1,0.35,10,4,0,0.01,17548
1,Bayern Munich,W,4,4.30,18,6,3,2.99,17548
0,Eintracht Frankfurt,D,1,1.47,17,4,1,1.54,17549
1,VfB Stuttgart,D,1,1.24,9,3,1,1.17,17549
0,Bochum,L,1,1.03,16,4,0,1.73,17550
1,Hertha Berlin,W,3,0.61,5,4,3,0.90,17550
0,Borussia M.Gladbach,W,3,2.13,18,4,3,1.78,17551
1,Arminia Bielefeld,L,1,1.53,18,7,0,0.98,17551
0,Hertha Berlin,W,2,1.59,14,3,3,1.34,17552
1,Greuther Fuerth,L,1,1.55,11,3,0,1.37,17552
0,Augsburg,W,1,0.49,5,1,3,1.05,17553
1,Borussia M.Gladbach,L,0,0.75,11,0,0,1.54,17553
0,Mainz 05,D,0,1.26,11,3,1,2.15,17554
1,Freiburg,D,0,0.36,7,1,1,0.57,17554
0,Arminia Bielefeld,D,0,1.01,9,2,1,0.94,17555
1,Hoffenheim,D,0,1.54,16,3,1,1.79,17555
0,Bayern Munich,W,7,6.88,24,15,3,3.00,17556
1,Bochum,L,0,1.23,5,0,0,0.00,17556
0,FC Cologne,D,1,1.69,14,5,1,1.11,17557
1,RasenBallsport Leipzig,D,1,2.04,19,9,1,1.61,17557
0,VfB Stuttgart,L,1,1.42,17,6,0,1.16,17558
1,Bayer Leverkusen,W,3,1.59,7,4,3,1.52,17558
0,Borussia Dortmund,W,4,1.10,13,5,3,0.84,17559
1,Union Berlin,L,2,1.73,9,6,0,1.90,17559
0,Wolfsburg,D,1,1.85,14,6,1,2.63,17560
1,Eintracht Frankfurt,D,1,0.28,5,2,1,0.23,17560
0,Greuther Fuerth,L,1,0.66,10,5,0,1.31,17561
1,Bayern Munich,W,3,0.68,12,4,3,1.29,17561
0,Union Berlin,W,1,1.25,17,4,3,2.09,17562
1,Arminia Bielefeld,L,0,0.44,10,2,0,0.62,17562
0,Bayer Leverkusen,W,1,1.45,17,9,3,1.76,17563
1,Mainz 05,L,0,0.93,14,5,0,0.95,17563
0,Eintracht Frankfurt,D,1,0.95,10,3,1,1.18,17564
1,FC Cologne,D,1,1.11,14,2,1,1.51,17564
0,RasenBallsport Leipzig,W,6,4.25,17,10,3,2.97,17565
1,Hertha Berlin,L,0,0.34,4,2,0,0.02,17565
0,Hoffenheim,W,3,1.79,11,3,3,2.43,17566
1,Wolfsburg,L,1,0.50,13,2,0,0.39,17566
0,Borussia M.Gladbach,W,1,1.66,15,3,3,2.24,17567
1,Borussia Dortmund,L,0,0.57,8,0,0,0.54,17567
0,Bochum,D,0,0.93,15,4,1,1.93,17568
1,VfB Stuttgart,D,0,0.29,8,3,1,0.70,17568
0,Freiburg,W,3,3.97,18,8,3,2.99,17569
1,Augsburg,L,0,0.19,9,2,0,0.01,17569
0,FC Cologne,W,3,2.87,18,8,3,2.65,17570
1,Greuther Fuerth,L,1,0.98,7,3,0,0.23,17570
0,Arminia Bielefeld,L,0,0.45,10,2,0,0.11,17571
1,Bayer Leverkusen,W,4,2.97,18,7,3,2.82,17571
0,Hertha Berlin,L,1,0.91,12,3,0,1.40,17572
1,Freiburg,W,2,0.86,11,5,3,1.26,17572
0,Mainz 05,L,1,1.26,12,4,0,1.48,17573
1,Union Berlin,W,2,1.11,16,2,3,1.23,17573
0,VfB Stuttgart,W,3,0.77,14,6,3,1.12,17574
1,Hoffenheim,L,1,0.98,13,4,0,1.54,17574
0,Wolfsburg,L,1,1.22,12,5,0,0.22,17575
1,Borussia M.Gladbach,W,3,3.52,19,10,3,2.69,17575
0,Borussia Dortmund,W,2,2.72,20,4,3,2.66,17576
1,Augsburg,L,1,0.75,6,3,0,0.23,17576
0,RasenBallsport Leipzig,W,3,2.46,16,9,3,2.02,17577
1,Bochum,L,0,1.52,9,2,0,0.76,17577
0,Bayern Munich,L,1,2.18,20,10,0,2.65,17578
1,Eintracht Frankfurt,W,2,0.39,5,3,3,0.22,17578
0,Greuther Fuerth,L,0,0.70,11,3,0,0.54,17579
1,Bochum,W,1,1.72,10,2,3,2.23,17579
0,Augsburg,D,1,0.91,14,6,1,1.95,17580
1,Arminia Bielefeld,D,1,0.29,10,2,1,0.68,17580
0,Hoffenheim,W,5,4.19,14,8,3,2.97,17581
1,FC Cologne,L,0,0.48,10,0,0,0.02,17581
0,Freiburg,D,1,1.64,15,4,1,1.35,17582
1,RasenBallsport Leipzig,D,1,1.66,13,3,1,1.36,17582
0,Borussia M.Gladbach,D,1,2.28,31,9,1,2.71,17583
1,VfB Stuttgart,D,1,0.29,5,2,1,0.18,17583
0,Union Berlin,W,2,1.33,5,3,3,1.38,17584
1,Wolfsburg,L,0,1.28,13,4,0,1.31,17584
0,Bayer Leverkusen,L,1,0.73,6,4,0,0.14,17585
1,Bayern Munich,W,5,3.45,27,11,3,2.79,17585
0,Eintracht Frankfurt,L,1,1.70,13,5,0,0.76,17586
1,Hertha Berlin,W,2,2.56,12,6,3,2.02,17586
0,Borussia Dortmund,W,3,2.36,11,5,3,2.63,17587
1,Mainz 05,L,1,0.61,5,2,0,0.24,17587
0,Bochum,W,2,2.79,19,7,3,2.23,17588
1,Eintracht Frankfurt,L,0,1.52,16,6,0,0.59,17588
0,FC Cologne,D,2,1.71,19,5,1,1.27,17589
1,Bayer Leverkusen,D,2,1.80,9,6,1,1.47,17589
0,Arminia Bielefeld,L,1,1.40,16,7,0,0.55,17590
1,Borussia Dortmund,W,3,2.59,14,7,3,2.26,17590
0,Hertha Berlin,W,1,1.47,10,4,3,2.31,17591
1,Borussia M.Gladbach,L,0,0.47,10,1,0,0.47,17591
0,Mainz 05,W,4,4.13,21,9,3,2.94,17592
1,Augsburg,L,1,0.66,6,2,0,0.03,17592
0,VfB Stuttgart,D,1,0.43,8,2,1,0.79,17593
1,Union Berlin,D,1,1.02,12,3,1,1.86,17593
0,Wolfsburg,L,0,1.73,18,4,0,1.02,17594
1,Freiburg,W,2,2.18,11,4,3,1.74,17594
0,RasenBallsport Leipzig,W,4,2.30,13,5,3,1.66,17595
1,Greuther Fuerth,L,1,1.94,9,4,0,1.06,17595
0,Bayern Munich,W,4,3.31,15,7,3,2.87,17596
1,Hoffenheim,L,0,0.45,9,2,0,0.08,17596
0,Arminia Bielefeld,L,1,0.50,14,5,0,0.12,17597
1,Mainz 05,W,2,2.97,16,5,3,2.82,17597
0,Augsburg,W,4,2.60,19,10,3,2.53,17598
1,VfB Stuttgart,L,1,0.91,13,3,0,0.33,17598
0,Hoffenheim,W,2,0.86,13,3,3,1.69,17599
1,Hertha Berlin,L,0,0.47,5,2,0,0.93,17599
0,Freiburg,W,3,1.22,12,5,3,2.14,17600
1,Greuther Fuerth,L,1,0.48,8,4,0,0.57,17600
0,Borussia M.Gladbach,W,2,1.82,15,5,3,1.92,17601
1,Bochum,L,1,1.08,12,4,0,0.83,17601
0,Union Berlin,L,2,0.74,9,6,0,0.09,17602
1,Bayern Munich,W,5,3.15,11,6,3,2.85,17602
0,Bayer Leverkusen,L,0,1.31,13,1,0,0.86,17603
1,Wolfsburg,W,2,1.87,12,8,3,1.86,17603
0,Eintracht Frankfurt,D,1,0.59,11,3,1,0.03,17604
1,RasenBallsport Leipzig,D,1,3.99,14,6,1,2.95,17604
0,Borussia Dortmund,W,2,1.76,8,5,3,1.82,17605
1,FC Cologne,L,0,1.20,21,5,0,0.92,17605
0,Greuther Fuerth,L,1,2.43,20,3,0,2.23,17606
1,Eintracht Frankfurt,W,2,1.27,16,4,3,0.57,17606
0,Bochum,W,2,2.12,12,5,3,2.49,17607
1,Hoffenheim,L,0,0.64,10,1,0,0.34,17607
0,FC Cologne,D,2,1.93,18,5,1,2.02,17608
1,Union Berlin,D,2,1.13,10,3,1,0.72,17608
0,Hertha Berlin,D,1,0.90,15,5,1,1.40,17609
1,Bayer Leverkusen,D,1,0.77,9,4,1,1.25,17609
0,Mainz 05,D,1,0.95,19,8,1,0.88,17610
1,Borussia M.Gladbach,D,1,1.51,12,5,1,1.85,17610
0,VfB Stuttgart,L,0,1.11,10,3,0,1.02,17611
1,Arminia Bielefeld,W,1,1.55,15,3,3,1.71,17611
0,Wolfsburg,W,1,0.91,8,3,3,1.36,17612
1,Augsburg,L,0,0.87,10,3,0,1.28,17612
0,RasenBallsport Leipzig,W,2,2.49,14,6,3,2.61,17613
1,Borussia Dortmund,L,1,0.73,11,3,0,0.27,17613
0,Bayern Munich,W,2,3.17,29,11,3,2.69,17614
1,Freiburg,L,1,0.91,13,3,0,0.22,17614
0,Arminia Bielefeld,D,2,1.41,10,3,1,1.39,17615
1,Wolfsburg,D,2,1.36,13,5,1,1.28,17615
0,Augsburg,W,2,0.61,5,3,3,0.84,17616
1,Bayern Munich,L,1,1.24,18,4,0,1.85,17616
0,Mainz 05,D,1,0.94,11,2,1,0.75,17617
1,FC Cologne,D,1,1.76,11,5,1,2.02,17617
0,Hoffenheim,W,2,2.89,22,8,3,2.92,17618
1,RasenBallsport Leipzig,L,0,0.21,5,0,0,0.05,17618
0,Freiburg,L,0,1.57,21,5,0,1.58,17619
1,Eintracht Frankfurt,W,2,1.24,13,7,3,1.14,17619
0,Borussia M.Gladbach,W,4,2.47,18,11,3,2.76,17620
1,Greuther Fuerth,L,0,0.31,5,1,0,0.15,17620
0,Union Berlin,W,2,1.89,15,5,3,2.66,17621
1,Hertha Berlin,L,0,0.21,8,2,0,0.21,17621
0,Bayer Leverkusen,W,1,1.63,11,5,3,2.11,17622
1,Bochum,L,0,0.71,21,7,0,0.66,17622
0,Borussia Dortmund,W,2,1.99,21,5,3,1.70,17623
1,VfB Stuttgart,L,1,1.54,13,4,0,1.03,17623
0,Greuther Fuerth,L,3,1.36,16,7,0,0.45,17624
1,Hoffenheim,W,6,3.02,21,11,3,2.41,17624
0,Bochum,W,2,0.96,13,6,3,0.58,17625
1,Freiburg,L,1,2.12,20,10,0,2.22,17625
0,FC Cologne,W,4,1.49,15,9,3,1.52,17626
1,Borussia M.Gladbach,L,1,1.30,16,5,0,1.21,17626
0,Hertha Berlin,D,1,1.93,12,4,1,1.60,17627
1,Augsburg,D,1,1.61,18,6,1,1.14,17627
0,VfB Stuttgart,W,2,0.28,7,3,3,0.49,17628
1,Mainz 05,L,1,1.18,18,5,0,2.23,17628
0,Eintracht Frankfurt,W,2,1.70,13,2,3,1.85,17629
1,Union Berlin,L,1,1.07,7,4,0,0.87,17629
0,Wolfsburg,L,1,2.17,15,7,0,1.21,17630
